Rank,Player.Name,Tier,Position,Best.Rank,Worst.Rank,Avg.Rank,Std.Dev,scoring_format,date_scraped
1,Ja'Marr Chase,1,WR,1,3,1.03,0.23,PPR,2025-08-20
2,Bijan Robinson,1,RB,2,16,3.12,1.98,PPR,2025-08-20
3,CeeDee Lamb,1,WR,3,6,3.68,0.84,PPR,2025-08-20
4,Justin Jefferson,1,WR,2,7,3.73,0.94,PPR,2025-08-20
5,Jahmyr Gibbs,2,RB,2,20,6.45,3.27,PPR,2025-08-20
6,Malik Nabers,2,WR,4,14,7.49,2.11,PPR,2025-08-20
7,Amon-Ra St. Brown,2,WR,4,15,8.32,2.54,PPR,2025-08-20
8,Puka Nacua,2,WR,4,17,8.94,2.6,PPR,2025-08-20
9,Saquon Barkley,2,RB,2,22,9.55,4.47,PPR,2025-08-20
10,Nico Collins,2,WR,5,25,10.11,3.22,PPR,2025-08-20
11,Brian Thomas Jr.,2,WR,6,18,11.12,2.51,PPR,2025-08-20
12,Drake London,2,WR,6,28,12.23,3.28,PPR,2025-08-20
13,Christian McCaffrey,2,RB,2,33,12.48,7.39,PPR,2025-08-20
14,A.J. Brown,3,WR,9,27,16.54,3.54,PPR,2025-08-20
15,De'Von Achane,3,RB,2,40,16.82,5.62,PPR,2025-08-20
16,Brock Bowers,3,TE,10,31,16.9,3.99,PPR,2025-08-20
17,Ladd McConkey,3,WR,10,34,17.61,4.69,PPR,2025-08-20
18,Ashton Jeanty,3,RB,8,55,18.99,7.48,PPR,2025-08-20
19,Trey McBride,3,TE,15,31,20.77,3.31,PPR,2025-08-20
20,Jaxon Smith-Njigba,3,WR,13,47,20.84,8.53,PPR,2025-08-20
21,Derrick Henry,4,RB,8,38,22.31,5.08,PPR,2025-08-20
22,Garrett Wilson,4,WR,13,46,23.39,7.25,PPR,2025-08-20
23,Tee Higgins,4,WR,14,47,24.75,7.07,PPR,2025-08-20
24,Josh Allen,4,QB,18,36,25.35,2.58,PPR,2025-08-20
25,Lamar Jackson,4,QB,24,36,26.13,2.52,PPR,2025-08-20
26,Tyreek Hill,4,WR,13,47,26.14,7.99,PPR,2025-08-20
27,Chase Brown,4,RB,12,46,27.73,7.08,PPR,2025-08-20
28,Josh Jacobs,5,RB,13,45,28.81,7.05,PPR,2025-08-20
29,Bucky Irving,5,RB,16,49,29.31,6.75,PPR,2025-08-20
30,Davante Adams,5,WR,18,48,31.45,6.45,PPR,2025-08-20
31,Jonathan Taylor,5,RB,19,57,31.63,7.5,PPR,2025-08-20
32,George Kittle,5,TE,15,86,32.81,9.76,PPR,2025-08-20
33,Mike Evans,5,WR,17,48,33.01,5.65,PPR,2025-08-20
34,Jayden Daniels,5,QB,26,58,34.03,8.32,PPR,2025-08-20
35,Kyren Williams,6,RB,23,55,36.81,6.05,PPR,2025-08-20
36,Jalen Hurts,6,QB,26,58,37.06,8.57,PPR,2025-08-20
37,Marvin Harrison Jr.,6,WR,18,70,38.51,8.94,PPR,2025-08-20
38,DJ Moore,6,WR,22,63,39.32,7.79,PPR,2025-08-20
39,Terry McLaurin,6,WR,19,75,39.52,10.37,PPR,2025-08-20
40,Alvin Kamara,7,RB,23,74,42.22,8.15,PPR,2025-08-20
41,Kenneth Walker III,7,RB,30,82,44.29,7.24,PPR,2025-08-20
42,Breece Hall,7,RB,30,81,44.65,8.73,PPR,2025-08-20
43,DK Metcalf,7,WR,27,90,44.95,9.91,PPR,2025-08-20
44,Courtland Sutton,7,WR,27,80,46.37,8.72,PPR,2025-08-20
45,James Cook,8,RB,33,60,46.63,5.49,PPR,2025-08-20
46,DeVonta Smith,8,WR,25,77,47.56,8.77,PPR,2025-08-20
47,Joe Burrow,8,QB,29,81,47.92,9.11,PPR,2025-08-20
48,Omarion Hampton,8,RB,23,155,49.26,19.43,PPR,2025-08-20
49,Tetairoa McMillan,8,WR,25,127,50.81,19.19,PPR,2025-08-20
50,James Conner,9,RB,33,77,53.66,7.64,PPR,2025-08-20
51,Chuba Hubbard,9,RB,40,77,54.04,7.16,PPR,2025-08-20
52,Zay Flowers,9,WR,37,90,54.2,12.2,PPR,2025-08-20
53,Jaylen Waddle,9,WR,32,93,55.2,13.17,PPR,2025-08-20
54,Xavier Worthy,9,WR,29,106,56.14,13.86,PPR,2025-08-20
55,George Pickens,9,WR,28,87,57.89,12.36,PPR,2025-08-20
56,Jameson Williams,9,WR,28,115,58.29,15.34,PPR,2025-08-20
57,Calvin Ridley,9,WR,34,89,58.32,11.95,PPR,2025-08-20
58,Rashee Rice,10,WR,25,132,60.58,22.16,PPR,2025-08-20
59,TreVeyon Henderson,10,RB,38,151,62.95,20.19,PPR,2025-08-20
60,Chris Olave,10,WR,37,99,63.66,13.1,PPR,2025-08-20
61,Patrick Mahomes II,10,QB,36,100,65.04,11.34,PPR,2025-08-20
62,T.J. Hockenson,10,TE,31,105,65.51,12.18,PPR,2025-08-20
63,Travis Hunter,11,WR,37,99,67.51,14.52,PPR,2025-08-20
64,David Montgomery,11,RB,46,88,67.75,8.09,PPR,2025-08-20
65,D'Andre Swift,11,RB,42,114,67.89,11.2,PPR,2025-08-20
66,Tony Pollard,11,RB,39,101,69.01,11.19,PPR,2025-08-20
67,Jerry Jeudy,11,WR,37,114,69.75,12.56,PPR,2025-08-20
68,Aaron Jones Sr.,11,RB,49,102,70.78,8.5,PPR,2025-08-20
69,Baker Mayfield,11,QB,54,113,71.6,14.65,PPR,2025-08-20
70,Isiah Pacheco,11,RB,49,101,71.95,9.24,PPR,2025-08-20
71,RJ Harvey,11,RB,42,300,72.75,37.08,PPR,2025-08-20
72,Sam LaPorta,11,TE,31,136,72.96,10.92,PPR,2025-08-20
73,Travis Kelce,11,TE,56,150,74.11,17.03,PPR,2025-08-20
74,Bo Nix,12,QB,58,107,76.17,14.48,PPR,2025-08-20
75,Stefon Diggs,12,WR,43,120,76.91,13.94,PPR,2025-08-20
76,Jakobi Meyers,12,WR,51,109,78.1,10.97,PPR,2025-08-20
77,Rome Odunze,12,WR,41,144,79.35,16.03,PPR,2025-08-20
78,Kyler Murray,12,QB,54,115,81.29,15.47,PPR,2025-08-20
79,David Njoku,12,TE,56,111,83.67,14.58,PPR,2025-08-20
80,Tyrone Tracy Jr.,13,RB,62,161,86.68,16.71,PPR,2025-08-20
81,Dak Prescott,13,QB,55,124,87.45,18.17,PPR,2025-08-20
82,Evan Engram,13,TE,56,140,87.69,16.71,PPR,2025-08-20
83,Ricky Pearsall,13,WR,46,135,88.75,20.65,PPR,2025-08-20
84,Kaleb Johnson,13,RB,64,282,89.24,33.21,PPR,2025-08-20
85,Jaylen Warren,13,RB,57,162,89.27,17.95,PPR,2025-08-20
86,Brian Robinson Jr.,14,RB,66,147,90.28,12.21,PPR,2025-08-20
87,Khalil Shakir,14,WR,56,127,90.4,14.31,PPR,2025-08-20
88,Chris Godwin,14,WR,49,149,90.41,22.13,PPR,2025-08-20
89,Mark Andrews,14,TE,72,143,91.22,13.38,PPR,2025-08-20
90,Jordan Addison,14,WR,43,139,91.26,17.32,PPR,2025-08-20
91,Jauan Jennings,14,WR,47,141,91.58,15.65,PPR,2025-08-20
92,Brock Purdy,14,QB,62,307,93.06,26.84,PPR,2025-08-20
93,Joe Mixon,14,RB,45,303,95.2,42.07,PPR,2025-08-20
94,Justin Fields,15,QB,54,284,96.32,36.51,PPR,2025-08-20
95,Travis Etienne Jr.,14,RB,66,149,94.51,16.49,PPR,2025-08-20
96,Justin Herbert,15,QB,62,139,98.43,15.34,PPR,2025-08-20
97,Josh Downs,15,WR,63,132,99.61,14.81,PPR,2025-08-20
98,Deebo Samuel Sr.,15,WR,61,136,99.78,14.97,PPR,2025-08-20
99,Emeka Egbuka,15,WR,59,167,101.03,24.53,PPR,2025-08-20
100,Jared Goff,15,QB,62,155,101.49,15.78,PPR,2025-08-20
101,Drake Maye,15,QB,69,146,103.25,14.55,PPR,2025-08-20
102,Michael Pittman Jr.,15,WR,53,141,104.22,16.98,PPR,2025-08-20
103,Caleb Williams,15,QB,62,133,101.13,15.03,PPR,2025-08-20
104,Cooper Kupp,15,WR,51,154,104.45,18.17,PPR,2025-08-20
105,Jayden Reed,16,WR,78,148,106.49,13.43,PPR,2025-08-20
106,Tucker Kraft,16,TE,79,241,107.24,21.19,PPR,2025-08-20
107,Javonte Williams,16,RB,71,176,108.52,22.85,PPR,2025-08-20
108,Jordan Love,16,QB,73,154,108.9,13.45,PPR,2025-08-20
109,Jake Ferguson,16,TE,72,195,109.16,17.99,PPR,2025-08-20
110,Zach Charbonnet,16,RB,83,144,110.74,12.71,PPR,2025-08-20
111,Jordan Mason,16,RB,76,194,111.54,23.18,PPR,2025-08-20
112,Trevor Lawrence,17,QB,78,161,113.88,11.19,PPR,2025-08-20
113,Rhamondre Stevenson,17,RB,79,159,114.66,17.1,PPR,2025-08-20
114,C.J. Stroud,17,QB,66,156,116.49,12.05,PPR,2025-08-20
115,Tyler Warren,17,TE,72,202,116.81,28.41,PPR,2025-08-20
116,Matthew Golden,16,WR,61,243,108.51,26.68,PPR,2025-08-20
117,J.K. Dobbins,17,RB,76,246,116.83,26.23,PPR,2025-08-20
118,Darnell Mooney,17,WR,90,167,120.47,14.79,PPR,2025-08-20
119,Dalton Kincaid,17,TE,89,180,121.77,18.83,PPR,2025-08-20
120,J.J. McCarthy,18,QB,89,320,123.98,30.47,PPR,2025-08-20
121,Dallas Goedert,18,TE,96,195,129.34,20.21,PPR,2025-08-20
122,Brandon Aiyuk,18,WR,68,198,130.45,22.15,PPR,2025-08-20
123,Rashid Shaheed,18,WR,93,192,131.35,16.65,PPR,2025-08-20
124,Cam Skattebo,18,RB,79,232,129.2,25.96,PPR,2025-08-20
125,Keon Coleman,18,WR,89,177,132.29,18.65,PPR,2025-08-20
126,Rachaad White,18,RB,92,255,129.42,24.47,PPR,2025-08-20
127,Tank Bigsby,18,RB,85,181,131.25,19.57,PPR,2025-08-20
128,Tyjae Spears,19,RB,92,190,128.8,18.89,PPR,2025-08-20
129,Najee Harris,19,RB,77,230,131.98,24.75,PPR,2025-08-20
130,Christian Kirk,19,WR,82,201,135.01,19.04,PPR,2025-08-20
131,Tua Tagovailoa,19,QB,107,241,134.79,18.98,PPR,2025-08-20
132,Bryce Young,19,QB,104,241,138.9,20.62,PPR,2025-08-20
133,Colston Loveland,19,TE,96,253,139.15,36.17,PPR,2025-08-20
134,Quinshon Judkins,19,RB,65,320,135.37,53.28,PPR,2025-08-20
135,Austin Ekeler,19,RB,92,262,139.5,26.31,PPR,2025-08-20
136,Luther Burden III,20,WR,95,198,143.23,21.72,PPR,2025-08-20
137,Cedric Tillman,20,WR,90,198,143.58,19.23,PPR,2025-08-20
138,Michael Penix Jr.,20,QB,105,323,144.72,25.24,PPR,2025-08-20
139,Ray Davis,20,RB,119,181,144.21,13.77,PPR,2025-08-20
140,Hunter Henry,20,TE,94,225,144.39,24.28,PPR,2025-08-20
141,Rashod Bateman,20,WR,108,198,148.46,18.82,PPR,2025-08-20
142,Braelon Allen,20,RB,101,232,148.26,21.99,PPR,2025-08-20
143,Jerome Ford,20,RB,76,291,150.5,38.17,PPR,2025-08-20
144,Matthew Stafford,20,QB,113,284,151.71,32.37,PPR,2025-08-20
145,Marvin Mims Jr.,20,WR,99,262,152.01,25.17,PPR,2025-08-20
146,Trey Benson,20,RB,105,250,149.32,22.85,PPR,2025-08-20
147,Jaydon Blue,21,RB,98,313,154.75,29.5,PPR,2025-08-20
148,Tyler Allgeier,21,RB,126,232,154.68,17.19,PPR,2025-08-20
149,Jayden Higgins,20,WR,80,271,146.7,32.44,PPR,2025-08-20
150,Romeo Doubs,22,WR,109,223,160.14,18.61,PPR,2025-08-20
151,Wan'Dale Robinson,22,WR,68,240,157.66,31.96,PPR,2025-08-20
152,Jonnu Smith,22,TE,72,273,158.34,41.45,PPR,2025-08-20
153,Geno Smith,22,QB,128,284,158.53,27.66,PPR,2025-08-20
154,Rico Dowdle,22,RB,83,261,159.01,28.88,PPR,2025-08-20
155,Marquise Brown,22,WR,113,268,162.81,22.51,PPR,2025-08-20
156,Kyle Pitts Sr.,22,TE,96,258,157.87,29.07,PPR,2025-08-20
157,Zach Ertz,22,TE,105,255,161.97,28.7,PPR,2025-08-20
158,Isaac Guerendo,22,RB,121,259,163.0,26.77,PPR,2025-08-20
159,DeMario Douglas,22,WR,87,226,164.38,28.37,PPR,2025-08-20
160,Adam Thielen,22,WR,89,224,164.91,22.7,PPR,2025-08-20
161,Bhayshul Tuten,22,RB,117,338,163.53,38.5,PPR,2025-08-20
162,Denver Broncos,21,DST,150,232,153.31,11.0,PPR,2025-08-20
163,Kyle Williams,23,WR,108,318,172.45,35.09,PPR,2025-08-20
164,Tre' Harris,23,WR,108,266,168.78,28.8,PPR,2025-08-20
165,Cam Ward,23,QB,93,334,174.73,38.21,PPR,2025-08-20
166,Sam Darnold,23,QB,112,254,173.48,31.27,PPR,2025-08-20
167,Dylan Sampson,22,RB,117,259,165.56,32.34,PPR,2025-08-20
168,Keenan Allen,22,WR,75,296,160.16,49.07,PPR,2025-08-20
169,Nick Chubb,23,RB,105,314,173.62,39.81,PPR,2025-08-20
170,Quentin Johnston,23,WR,122,292,178.51,29.74,PPR,2025-08-20
171,Joshua Palmer,23,WR,102,264,173.86,29.24,PPR,2025-08-20
172,Jalen McMillan,23,WR,108,290,174.57,31.87,PPR,2025-08-20
173,Jaylen Wright,23,RB,131,256,174.66,28.15,PPR,2025-08-20
174,Xavier Legette,23,WR,95,243,175.76,23.78,PPR,2025-08-20
175,Brenton Strange,23,TE,96,299,170.76,43.16,PPR,2025-08-20
176,Philadelphia Eagles,22,DST,150,233,164.2,10.5,PPR,2025-08-20
177,Baltimore Ravens,23,DST,150,236,171.19,10.22,PPR,2025-08-20
178,Pittsburgh Steelers,23,DST,160,234,168.96,9.87,PPR,2025-08-20
179,Roschon Johnson,24,RB,140,287,186.66,32.81,PPR,2025-08-20
180,Minnesota Vikings,23,DST,150,235,175.18,10.22,PPR,2025-08-20
181,DeAndre Hopkins,24,WR,127,295,193.5,27.85,PPR,2025-08-20
182,Chig Okonkwo,24,TE,123,331,193.56,43.81,PPR,2025-08-20
183,Mike Gesicki,25,TE,123,315,200.26,38.45,PPR,2025-08-20
184,Houston Texans,24,DST,160,239,184.4,11.85,PPR,2025-08-20
185,Pat Freiermuth,25,TE,137,305,199.32,37.51,PPR,2025-08-20
186,Aaron Rodgers,25,QB,118,307,201.87,41.12,PPR,2025-08-20
187,Blake Corum,25,RB,121,325,199.95,38.84,PPR,2025-08-20
188,Brandon Aubrey,24,K,183,237,186.94,5.65,PPR,2025-08-20
189,Buffalo Bills,24,DST,150,240,186.2,9.15,PPR,2025-08-20
190,Kansas City Chiefs,24,DST,166,352,187.75,23.23,PPR,2025-08-20
191,Jake Bates,24,K,185,244,193.49,7.38,PPR,2025-08-20
192,Detroit Lions,24,DST,170,243,188.75,10.22,PPR,2025-08-20
193,Jalen Coker,25,WR,141,295,199.73,28.48,PPR,2025-08-20
194,Cameron Dicker,24,K,191,238,193.88,5.9,PPR,2025-08-20
195,MarShawn Lloyd,25,RB,151,328,207.23,37.9,PPR,2025-08-20
196,Alec Pierce,25,WR,173,297,207.49,21.09,PPR,2025-08-20
197,Seattle Seahawks,25,DST,170,278,199.16,18.07,PPR,2025-08-20
198,Wil Lutz,25,K,186,258,200.99,9.74,PPR,2025-08-20
199,Los Angeles Rams,25,DST,150,279,201.91,19.06,PPR,2025-08-20
200,Isaiah Likely,25,TE,143,289,215.12,26.51,PPR,2025-08-20
