rank,player_name,team,position,adp,seven_day_change,date_scraped
1,Ja'Marr Chase,Cin,WR,1.5,0.0,2025-09-03
2,Bijan Robinson,Atl,RB,2.7,0.1,2025-09-03
3,Saquon Barkley,Phi,RB,3.6,0.0,2025-09-03
4,Justin Jefferson,Q,Min,5.0,-0.1,2025-09-03
5,Jahmyr Gibbs,Det,RB,5.1,0.0,2025-09-03
6,CeeDee Lamb,Dal,WR,7.2,-0.4,2025-09-03
7,Christian McCaffrey,SF,RB,7.3,0.7,2025-09-03
8,Malik Nabers,NYG,WR,10.9,0.9,2025-09-03
9,Amon-Ra St. Brown,Det,WR,11.1,-0.7,2025-09-03
10,Puka Nacua,LAR,WR,11.4,-1.2,2025-09-03
11,Ashton Jeanty,LV,RB,11.4,0.8,2025-09-03
12,Derrick Henry,Bal,RB,14.6,0.2,2025-09-03
13,Nico Collins,Hou,WR,15.1,0.0,2025-09-03
14,De'Von Achane,Q,Mia,16.4,0.2,2025-09-03
15,Jonathan Taylor,Ind,RB,18.2,0.4,2025-09-03
16,A.J. Brown,Phi,WR,18.8,0.4,2025-09-03
17,Josh Jacobs,GB,RB,18.9,0.5,2025-09-03
18,Brian Thomas Jr.,Jax,WR,19.0,-0.3,2025-09-03
19,Josh Allen,Buf,QB,20.6,0.0,2025-09-03
20,Brock Bowers,LV,TE,21.5,-0.4,2025-09-03
21,Drake London,Atl,WR,22.2,-0.4,2025-09-03
22,Bucky Irving,TB,RB,23.6,0.3,2025-09-03
23,Lamar Jackson,Bal,QB,24.5,-0.3,2025-09-03
24,Chase Brown,Cin,RB,25.5,0.6,2025-09-03
25,Trey McBride,Ari,TE,27.3,-0.2,2025-09-03
26,Tee Higgins,Cin,WR,27.4,0.4,2025-09-03
27,Jayden Daniels,Wsh,QB,28.3,0.1,2025-09-03
28,Jalen Hurts,Phi,QB,29.5,0.0,2025-09-03
29,Kyren Williams,LAR,RB,30.4,0.5,2025-09-03
